"Itineraries\Items\Start time","Itineraries\Items\Name","Name","Itineraries\Items\Program\Locations\Name","QUERYRECID"
"8:00 AM","School SCI Exploration","Jefferson Elementary School - Smith","Full Facility","a1b2c3d4-e5f6-7890-abcd-ef1234567001"
"9:00 AM","Meet Stuffee Program","Jefferson Elementary School - Smith","Star Theater Planetarium","a1b2c3d4-e5f6-7890-abcd-ef1234567001"
"9:00 AM","School SCI Exploration","Lincoln Middle School - Johnson","Full Facility","b2c3d4e5-f6a7-8901-bcde-f01234567002"
"9:30 AM","School Lunch","Jefferson Elementary School - Smith","Innovation Hallway","a1b2c3d4-e5f6-7890-abcd-ef1234567001"
"9:30 AM","School SCI Exploration","Roosevelt Elementary School - Davis","Full Facility","c3d4e5f6-a7b8-9012-cdef-012345678003"
"10:00 AM","School SCI Exploration","Kennedy Elementary School - Wilson","Full Facility","d4e5f6a7-b8c9-0123-def0-123456789004"
"10:00 AM","Iowa Skies Tonight","Lincoln Middle School - Johnson","Star Theater Planetarium","b2c3d4e5-f6a7-8901-bcde-f01234567002"
"10:30 AM","Solar System Adventure","Jefferson Elementary School - Smith","Star Theater Planetarium","a1b2c3d4-e5f6-7890-abcd-ef1234567001"
"10:30 AM","School Lunch","Lincoln Middle School - Johnson","Innovation Hallway","b2c3d4e5-f6a7-8901-bcde-f01234567002"
"10:30 AM","Zula Patrol: Under the Weather","Roosevelt Elementary School - Davis","Star Theater Planetarium","c3d4e5f6-a7b8-9012-cdef-012345678003"
"11:00 AM","SCI Live Show","Jefferson Elementary School - Smith","SCI Live Theater","a1b2c3d4-e5f6-7890-abcd-ef1234567001"
"11:00 AM","Solar System Adventure","Kennedy Elementary School - Wilson","Star Theater Planetarium","d4e5f6a7-b8c9-0123-def0-123456789004"
"11:00 AM","School Lunch","Roosevelt Elementary School - Davis","Innovation Hallway","c3d4e5f6-a7b8-9012-cdef-012345678003"
"11:30 AM","School Lunch","Kennedy Elementary School - Wilson","Innovation Hallway","d4e5f6a7-b8c9-0123-def0-123456789004"
"11:30 AM","Wonder of Water","Lincoln Middle School - Johnson","Full Facility","b2c3d4e5-f6a7-8901-bcde-f01234567002"
"12:00 PM","Meet Stuffee Program","Roosevelt Elementary School - Davis","Star Theater Planetarium","c3d4e5f6-a7b8-9012-cdef-012345678003"
"12:00 PM","School SCI Exploration","Washington High School - Brown","Full Facility","e5f6a7b8-c9d0-1234-ef01-234567890005"
"12:30 PM","Iowa Skies Tonight","Kennedy Elementary School - Wilson","Star Theater Planetarium","d4e5f6a7-b8c9-0123-def0-123456789004"
"12:30 PM","SCI Live Show","Lincoln Middle School - Johnson","SCI Live Theater","b2c3d4e5-f6a7-8901-bcde-f01234567002"
"12:30 PM","School Lunch","Washington High School - Brown","Innovation Hallway","e5f6a7b8-c9d0-1234-ef01-234567890005"
"1:00 PM","School SCI Exploration","Adams Elementary School - Martinez","Full Facility","f6a7b8c9-d0e1-2345-f012-34567890ab06"
"1:00 PM","Wonder of Water","Roosevelt Elementary School - Davis","Full Facility","c3d4e5f6-a7b8-9012-cdef-012345678003"
"1:30 PM","SCI Live Show","Kennedy Elementary School - Wilson","SCI Live Theater","d4e5f6a7-b8c9-0123-def0-123456789004"
"1:30 PM","Iowa Skies Tonight","Washington High School - Brown","Star Theater Planetarium","e5f6a7b8-c9d0-1234-ef01-234567890005"
"2:00 PM","School Lunch","Adams Elementary School - Martinez","Innovation Hallway","f6a7b8c9-d0e1-2345-f012-34567890ab06"
"2:30 PM","Wonder of Water","Washington High School - Brown","Full Facility","e5f6a7b8-c9d0-1234-ef01-234567890005"
"3:00 PM","Zula Patrol: Under the Weather","Adams Elementary School - Martinez","Star Theater Planetarium","f6a7b8c9-d0e1-2345-f012-34567890ab06"
"3:30 PM","Wonder of Water","Adams Elementary School - Martinez","Full Facility","f6a7b8c9-d0e1-2345-f012-34567890ab06"
"3:30 PM","Fireworks!","Washington High School - Brown","SCI Live Theater","e5f6a7b8-c9d0-1234-ef01-234567890005"
"4:30 PM","Solar System Adventure","Adams Elementary School - Martinez","Star Theater Planetarium","f6a7b8c9-d0e1-2345-f012-34567890ab06"
"5:00 PM","School SCI Exploration","Monroe Science Club - Garcia","Full Facility","a7b8c9d0-e1f2-3456-0123-4567890abc07"
